,Country,Code,Year,Deaths Per 100000
300,Australia,AUS,1990,125.5
301,Australia,AUS,1991,119.45
302,Australia,AUS,1992,115.98
303,Australia,AUS,1993,111.02
304,Australia,AUS,1994,108.15
305,Australia,AUS,1995,103.29
306,Australia,AUS,1996,99.65
307,Australia,AUS,1997,94.74
308,Australia,AUS,1998,89.67
309,Australia,AUS,1999,84.67
310,Australia,AUS,2000,80.42
311,Australia,AUS,2001,76.55
312,Australia,AUS,2002,73.4
313,Australia,AUS,2003,69.39
314,Australia,AUS,2004,66.33
315,Australia,AUS,2005,63.17
316,Australia,AUS,2006,60.66
317,Australia,AUS,2007,59.47
318,Australia,AUS,2008,57.94
319,Australia,AUS,2009,55.63
320,Australia,AUS,2010,53.61
321,Australia,AUS,2011,52.23
322,Australia,AUS,2012,50.33
323,Australia,AUS,2013,49.1
324,Australia,AUS,2014,48.57
325,Australia,AUS,2015,47.66
326,Australia,AUS,2016,45.96
327,Australia,AUS,2017,45.2
328,Australia,AUS,2018,45.21
329,Australia,AUS,2019,44.66
1140,China,CHN,1990,216.53
1141,China,CHN,1991,217.94
1142,China,CHN,1992,219.01
1143,China,CHN,1993,219.36
1144,China,CHN,1994,217.98
1145,China,CHN,1995,217.0
1146,China,CHN,1996,215.19
1147,China,CHN,1997,212.05
1148,China,CHN,1998,209.76
1149,China,CHN,1999,208.83
1150,China,CHN,2000,209.72
1151,China,CHN,2001,207.27
1152,China,CHN,2002,204.46
1153,China,CHN,2003,200.86
1154,China,CHN,2004,199.55
1155,China,CHN,2005,194.05
1156,China,CHN,2006,182.12
1157,China,CHN,2007,174.11
1158,China,CHN,2008,169.88
1159,China,CHN,2009,166.71
1160,China,CHN,2010,164.26
1161,China,CHN,2011,159.48
1162,China,CHN,2012,153.77
1163,China,CHN,2013,148.04
1164,China,CHN,2014,142.84
1165,China,CHN,2015,138.54
1166,China,CHN,2016,135.94
1167,China,CHN,2017,132.8
1168,China,CHN,2018,130.44
1169,China,CHN,2019,129.65
2070,France,FRA,1990,103.48
2071,France,FRA,1991,101.5
2072,France,FRA,1992,99.28
2073,France,FRA,1993,97.65
2074,France,FRA,1994,95.27
2075,France,FRA,1995,94.39
2076,France,FRA,1996,93.2
2077,France,FRA,1997,90.61
2078,France,FRA,1998,90.11
2079,France,FRA,1999,88.24
2080,France,FRA,2000,85.37
2081,France,FRA,2001,83.39
2082,France,FRA,2002,81.66
2083,France,FRA,2003,79.66
2084,France,FRA,2004,75.25
2085,France,FRA,2005,73.7
2086,France,FRA,2006,71.56
2087,France,FRA,2007,69.97
2088,France,FRA,2008,68.93
2089,France,FRA,2009,68.23
2090,France,FRA,2010,67.01
2091,France,FRA,2011,65.98
2092,France,FRA,2012,65.06
2093,France,FRA,2013,63.7
2094,France,FRA,2014,61.82
2095,France,FRA,2015,61.98
2096,France,FRA,2016,59.64
2097,France,FRA,2017,59.38
2098,France,FRA,2018,58.38
2099,France,FRA,2019,58.12
2220,Germany,DEU,1990,143.14
2221,Germany,DEU,1991,139.58
2222,Germany,DEU,1992,135.15
2223,Germany,DEU,1993,132.8
2224,Germany,DEU,1994,129.0
2225,Germany,DEU,1995,125.4
2226,Germany,DEU,1996,121.88
2227,Germany,DEU,1997,117.42
2228,Germany,DEU,1998,113.04
2229,Germany,DEU,1999,109.12
2230,Germany,DEU,2000,105.67
2231,Germany,DEU,2001,102.2
2232,Germany,DEU,2002,100.51
2233,Germany,DEU,2003,98.45
2234,Germany,DEU,2004,93.81
2235,Germany,DEU,2005,90.95
2236,Germany,DEU,2006,88.45
2237,Germany,DEU,2007,86.76
2238,Germany,DEU,2008,85.49
2239,Germany,DEU,2009,84.25
2240,Germany,DEU,2010,82.3
2241,Germany,DEU,2011,80.43
2242,Germany,DEU,2012,79.22
2243,Germany,DEU,2013,78.86
