measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2011,1704610.3890593543,1781802.6418689922,1611217.6576019556
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2011,0.03234942563510178,0.03361122052083446,0.0307451948655326
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2011,24.103986535140507,25.195521019667144,22.783369720895116
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2011,161518.21191938483,169338.82283417985,154312.90071793282
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2011,0.003065253162540177,0.0031976580806882065,0.0029454358215497242
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2011,2.2839429058233023,2.3945299944605036,2.182056442326429
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2012,1736387.2178687032,1816812.1453317106,1652297.8193963564
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2012,0.03285208781908902,0.03417229123069771,0.031325452336539196
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2012,24.26065567509679,25.38434597458518,23.08576569590907
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2012,166179.22699188828,173581.64772832135,158823.57947752893
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2012,0.0031441179389055103,0.003283644341753844,0.003012896803354314
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2012,2.3218421357377212,2.4252681335800905,2.2190696494070017
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2008,1590730.1043523266,1648787.6288761394,1516831.785586322
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2008,0.03032062426932223,0.03138409776789388,0.029000428577013886
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2008,23.326836331422054,24.178205378043483,22.243174192693775
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2008,149223.7770735242,155829.48766788963,142706.34777056417
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2008,0.002844329898339618,0.0029549666425297645,0.0027243419105659546
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2008,2.188252183715336,2.2851198606807146,2.0926790841456504
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2009,1631778.0655196162,1693514.0105047591,1552379.5571083925
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2009,0.031256680789081726,0.03232983227216724,0.029860604885287134
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2009,23.637035834371797,24.53130863697741,22.486912892920095
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2009,152836.78536804396,158886.5403416433,146075.72521573084
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2009,0.00292758589324894,0.0030398834627425753,0.002806063076693646
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2009,2.2139092618604743,2.301542671159059,2.115972278593279
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2010,1670745.4270102386,1737302.071978523,1592450.8959285764
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2010,0.03169715550882027,0.032847615857395776,0.03018952545412148
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2010,23.911107534874997,24.863642295269358,22.790584370890453
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2010,157287.89397103176,163981.17507180673,150542.12679416133
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2010,0.0029840860844670292,0.0030980675623704457,0.002859092605097945
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2010,2.2510477574105714,2.3468395887538818,2.154504764226968
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2013,1765969.598718473,1852053.362145483,1663650.1556680633
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2013,0.03320413235916138,0.03456648293157044,0.031495251617016426
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2013,24.38389494909502,25.57250966010152,22.97110361202921
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2013,170708.86688249322,179179.27563659888,162056.9003438709
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2013,0.0032097700020371697,0.003343135232225904,0.0030689411138717735
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2013,2.357088751676379,2.474045214225845,2.2376254022880637
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2014,1799302.735837366,1890258.70200173,1700096.1914314236
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2014,0.03361884088212703,0.0350871208745413,0.03179052540677654
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2014,24.559817916774907,25.801333267665296,23.205685219572924
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2014,174485.78541341703,183536.7530097667,164985.33086939307
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2014,0.003260254302092342,0.003411747742781824,0.0030890935639672277
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2014,2.3816665386354,2.505208904080383,2.2519888423364285
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2018,1979287.5822992662,2122059.132236001,1835226.7901144146
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2018,0.03552604549508081,0.03753350111767143,0.03335610676094218
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,25.844104543900393,27.70831209789985,23.96306299784196
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2018,193941.2998230299,210476.44941067277,178548.2263129072
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2018,0.003481063052806796,0.0037222631080752223,0.0032283705160722864
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2018,2.5323451088314175,2.748249123191803,2.331353497200418
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2016,1879225.7565990814,1997278.4510580197,1757410.4801277819
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2016,0.03445249968874441,0.036209285499805566,0.03250227798875571
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2016,25.074518620139514,26.649696309660623,23.449136780107253
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2016,184934.373363611,197525.93339919616,173159.62384203903
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2016,0.003390654869766883,0.003589634796066259,0.003190701944237337
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2016,2.4675802639070494,2.635589512109502,2.31046972245702
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2017,1920896.1695076835,2031821.4136066434,1795212.0157768216
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2017,0.03494256440966633,0.03658228460994199,0.0329013882303
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2017,25.348295754733055,26.81207393219026,23.689757854025135
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2017,188514.4883920737,201889.11238118578,174660.33510763172
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2017,0.0034293865668519863,0.0036520481910171133,0.003199765520751686
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2017,2.487651900018726,2.664144481901094,2.304831412133925
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2015,1840754.4772257744,1932827.7541444427,1738583.7044064444
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2015,0.03402784099966867,0.03560152387587651,0.032252814839961425
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2015,24.841689418325153,26.084253691420482,23.462855555683547
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2015,179876.1214174046,190068.8925652218,169532.95228318477
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2015,0.003325236473578296,0.0034995416970123763,0.003142117690507474
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2015,2.4274974187532736,2.56505278439213,2.287912374461694
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,2042639.7363892663,2193268.972765379,1879241.239817795
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2019,0.03613773653707191,0.038345794618593616,0.03359484171623145
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,26.399341851180488,28.34609371007874,24.287558411294842
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2019,199397.55224116493,218058.55772592142,181651.48404333822
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2019,0.003527614739545324,0.003801413522213365,0.0032630973052303796
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2019,2.5770399214930295,2.8182171855511844,2.3476874260319707
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,3212307.3907010127,3488345.580447438,2937037.1963889864
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2019,0.00043171991748910564,0.00046900035639071286,0.0003949906148163304
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,41.51627887553673,45.083832372747345,37.95865105129312
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2019,1401931.9123711681,1519844.1918724317,1286017.3752339298
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2019,0.00018841386805038509,0.00020405090843710793,0.00017288945417572802
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2019,18.11875053022695,19.642664179585527,16.62065596323467
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2017,2999171.4738743096,3182437.4004230336,2809194.847013942
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2017,0.00041173469163463327,0.0004370679349776761,0.0003861782356975498
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2017,39.57730081705005,41.99569228539937,37.07035442370212
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2017,1314691.534659958,1400382.5589800603,1226537.3387155363
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2017,0.0001804844857619177,0.0001923729689105853,0.00016827392987296547
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2017,17.34877208659625,18.479557530636505,16.185482437581747
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2009,2481956.5965170027,2565948.286335287,2382059.9833393167
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2009,0.0003741937175528187,0.0003868533425858845,0.0003593858862945601
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2009,35.95225248511134,37.16890971563493,34.505205319011935
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2009,1042358.8045795369,1075541.424716072,1009864.9147925948
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2009,0.00015715186419676904,0.0001622417768988911,0.00015231087873396231
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2009,15.09903395366069,15.579699062365815,14.62834541241749
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2008,2387498.4570098487,2466399.9518005666,2301408.661266039
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2008,0.00036433278931781335,0.0003761754954207371,0.00035120821039678885
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2008,35.01083282186762,36.16786269780438,33.748392028406286
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2008,1007058.8346407763,1041615.275832486,976374.5006147239
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2008,0.00015367735870405554,0.00015894991853683904,0.00014896279204082153
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2008,14.767745042043227,15.274488735187594,14.317782829216535
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2012,2676417.538723915,2779949.7078860505,2554114.8885679333
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2012,0.0003891724565920783,0.0004045596653434067,0.0003714828226221556
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2012,37.39467998933451,38.84122271983298,35.68587768242276
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2012,1146731.4597415067,1188426.7179594717,1107141.5700352758
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2012,0.00016674400522918715,0.0001727766282096732,0.00016102116723286765
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2012,16.02203518333748,16.604597812514115,15.468888585335653
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2015,2867126.7651208667,3001295.8583543296,2721084.531374433
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2015,0.0004026562902466343,0.00042159985304603625,0.00038250956444076876
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2015,38.69297807138459,40.503641570987845,36.722081975477735
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2015,1247992.7762638615,1303725.8389029063,1190653.9781874197
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2015,0.0001752668487994954,0.00018308705785540335,0.00016705781649028312
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2015,16.84214235403307,17.594281463045487,16.068333227906834
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2013,2733697.410014988,2856705.3867797153,2605929.001945528
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2013,0.00039282673393067533,0.00041108080860347934,0.00037466873438052664
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2013,37.74594450368294,39.444395929748524,35.981762695321315
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2013,1180207.6197203072,1234055.4469636527,1135952.4164155126
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2013,0.00016959333731604787,0.00017730233332028674,0.00016313331792452876
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2013,16.295896961230326,17.039409060018208,15.684836482545954
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2011,2621406.440831236,2725345.2555347676,2506761.185243874
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2011,0.0003857783314643338,0.0004011917400483745,0.00036858751563812614
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2011,37.06791062548579,38.53765397925879,35.44677320034054
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2011,1111883.6674413125,1153119.1508020537,1074168.446104217
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2011,0.00016363004982576575,0.00016977041779731166,0.00015790804319206798
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2011,15.722554033850157,16.305643015400836,15.189243200410473
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2010,2557647.481621421,2653705.9450285467,2451258.064073714
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2010,0.0003809819226492147,0.0003955170613877268,0.00036536796637726685
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2010,36.60413069559595,37.97888486881122,35.08152362307014
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2010,1077728.4580698367,1116914.8427056477,1042211.8173795118
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,2,Percent,2010,0.0001605361077919909,0.00016631676803023133,0.0001551568393194174
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,3,Rate,2010,15.424062001125545,15.98488344153288,14.915760615950681
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2018,3107189.375476355,3347749.696240341,2881715.1526012905
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",2,Percent,2018,0.00042199075560639653,0.00045536278626197855,0.0003909700919270253
5,Prevalence,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",3,Rate,2018,40.57142972837876,43.71249226751545,37.62735053541548
5,Prevalence,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,2018,1359626.6578876742,1458770.1071960714,1251389.6056047576
